Path	ctx-a	ctx-u	ctx-y	ctx-z	ctx-p	Uniform
t39	5	1	4	3	2	140
t17	5	1	4	3	2	210
t25	5	2	1	3	4	280
t39	5	2	1	3	4	140
t17	5	2	1	3	4	210
t25	5	2	1	4	3	280
t39	5	2	1	4	3	140
t17	5	2	1	4	3	210
t25	5	2	3	1	4	270
t39	5	2	3	1	4	140
t17	5	2	3	1	4	210
t25	5	2	3	4	1	270
t39	5	2	3	4	1	140
t17	5	2	3	4	1	210
t25	5	2	4	1	3	270
t39	5	2	4	1	3	140
t17	5	2	4	1	3	210
t25	5	2	4	3	1	270
t39	5	2	4	3	1	140
t17	5	2	4	3	1	210
t25	5	3	1	2	4	280
t39	5	3	1	2	4	140
t17	5	3	1	2	4	210
t25	5	3	1	4	2	340
t39	5	3	1	4	2	140
t17	5	3	1	4	2	210
t25	5	3	2	1	4	280
t39	5	3	2	1	4	140
t17	5	3	2	1	4	210
t25	5	3	2	4	1	340
t39	5	3	2	4	1	140
t17	5	3	2	4	1	210
t25	5	3	4	1	2	290
t39	5	3	4	1	2	140
t17	5	3	4	1	2	210
t25	5	3	4	2	1	290
t39	5	3	4	2	1	140
t17	5	3	4	2	1	210
t25	5	4	1	2	3	350
t39	5	4	1	2	3	90
t17	5	4	1	2	3	210
t25	5	4	1	3	2	350
t39	5	4	1	3	2	90
t17	5	4	1	3	2	210
t25	5	4	2	1	3	350
t39	5	4	2	1	3	90
t17	5	4	2	1	3	210
t25	5	4	2	3	1	350
t39	5	4	2	3	1	90
t17	5	4	2	3	1	210
t25	5	4	3	1	2	350
t39	5	4	3	1	2	90
t17	5	4	3	1	2	210
t25	5	4	3	2	1	350
t39	5	4	3	2	1	90
t17	5	4	3	2	1	210
