Path	P1	P2	P3	P4	P5	P6	P7	lat	lat_sync	lat_syncref	lat_async
S1	1	2	7	3	5	6	4	0	170	170	170
S2	1	2	7	3	5	6	4	0	70	70	70
S1	1	2	7	3	6	4	5	0	170	170	170
S2	1	2	7	3	6	4	5	0	70	70	70
S1	1	2	7	3	6	5	4	0	170	170	170
S2	1	2	7	3	6	5	4	0	70	70	70
S1	1	2	7	4	3	5	6	0	170	170	170
S2	1	2	7	4	3	5	6	0	70	70	70
S1	1	2	7	4	3	6	5	0	170	170	170
S2	1	2	7	4	3	6	5	0	70	70	70
S1	1	2	7	4	5	3	6	0	170	170	170
S2	1	2	7	4	5	3	6	0	70	70	70
S1	1	2	7	4	5	6	3	0	170	170	170
S2	1	2	7	4	5	6	3	0	70	70	70
S1	1	2	7	4	6	3	5	0	170	170	170
S2	1	2	7	4	6	3	5	0	70	70	70
S1	1	2	7	4	6	5	3	0	170	170	170
S2	1	2	7	4	6	5	3	0	70	70	70
S1	1	2	7	5	3	4	6	0	170	170	170
S2	1	2	7	5	3	4	6	0	70	70	70
S1	1	2	7	5	3	6	4	0	170	170	170
S2	1	2	7	5	3	6	4	0	70	70	70
S1	1	2	7	5	4	3	6	0	170	170	170
S2	1	2	7	5	4	3	6	0	70	70	70
S1	1	2	7	5	4	6	3	0	170	170	170
S2	1	2	7	5	4	6	3	0	70	70	70
S1	1	2	7	5	6	3	4	0	170	170	170
S2	1	2	7	5	6	3	4	0	70	70	70
S1	1	2	7	5	6	4	3	0	170	170	170
S2	1	2	7	5	6	4	3	0	70	70	70
S1	1	2	7	6	3	4	5	0	170	170	170
S2	1	2	7	6	3	4	5	0	70	70	70
S1	1	2	7	6	3	5	4	0	170	170	170
S2	1	2	7	6	3	5	4	0	70	70	70
S1	1	2	7	6	4	3	5	0	170	170	170
S2	1	2	7	6	4	3	5	0	70	70	70
S1	1	2	7	6	4	5	3	0	170	170	170
S2	1	2	7	6	4	5	3	0	70	70	70
S1	1	2	7	6	5	3	4	0	170	170	170
S2	1	2	7	6	5	3	4	0	70	70	70
S1	1	2	7	6	5	4	3	0	170	170	170
S2	1	2	7	6	5	4	3	0	70	70	70
S1	1	3	2	4	5	6	7	0	70	70	70
S2	1	3	2	4	5	6	7	0	120	120	120
S1	1	3	2	4	5	7	6	0	70	70	70
