Path	ctx-a	ctx-u	ctx-y	ctx-z	ctx-p	EMSOFT17
t39	4	5	1	3	2	90
t25	4	5	1	3	2	210
t17	4	5	1	3	2	160
t39	4	5	2	1	3	90
t25	4	5	2	1	3	210
t17	4	5	2	1	3	160
t39	4	5	2	3	1	90
t25	4	5	2	3	1	210
t17	4	5	2	3	1	160
t39	4	5	3	1	2	90
t25	4	5	3	1	2	210
t17	4	5	3	1	2	160
t39	4	5	3	2	1	90
t25	4	5	3	2	1	210
t17	4	5	3	2	1	160
t39	5	1	2	3	4	140
t25	5	1	2	3	4	210
t17	5	1	2	3	4	210
t39	5	1	2	4	3	140
t25	5	1	2	4	3	210
t17	5	1	2	4	3	210
t39	5	1	3	2	4	140
t25	5	1	3	2	4	210
t17	5	1	3	2	4	210
t39	5	1	3	4	2	140
t25	5	1	3	4	2	210
t17	5	1	3	4	2	210
t39	5	1	4	2	3	140
t25	5	1	4	2	3	210
t17	5	1	4	2	3	210
t39	5	1	4	3	2	140
t25	5	1	4	3	2	210
t17	5	1	4	3	2	210
t39	5	2	1	3	4	140
t25	5	2	1	3	4	210
t17	5	2	1	3	4	210
t39	5	2	1	4	3	140
t25	5	2	1	4	3	210
t17	5	2	1	4	3	210
t39	5	2	3	1	4	140
t25	5	2	3	1	4	210
t17	5	2	3	1	4	210
t39	5	2	3	4	1	140
t25	5	2	3	4	1	210
t17	5	2	3	4	1	210
t39	5	2	4	1	3	140
t25	5	2	4	1	3	210
t17	5	2	4	1	3	210
t39	5	2	4	3	1	140
t25	5	2	4	3	1	210
t17	5	2	4	3	1	210
t39	5	3	1	2	4	140
t25	5	3	1	2	4	210
t17	5	3	1	2	4	210
t39	5	3	1	4	2	140
t25	5	3	1	4	2	210
t17	5	3	1	4	2	210
t39	5	3	2	1	4	140
t25	5	3	2	1	4	210
t17	5	3	2	1	4	210
t39	5	3	2	4	1	140
t25	5	3	2	4	1	210
t17	5	3	2	4	1	210
t39	5	3	4	1	2	140
t25	5	3	4	1	2	210
t17	5	3	4	1	2	210
t39	5	3	4	2	1	140
t25	5	3	4	2	1	210
t17	5	3	4	2	1	210
t39	5	4	1	2	3	90
t25	5	4	1	2	3	210
t17	5	4	1	2	3	210
t39	5	4	1	3	2	90
t25	5	4	1	3	2	210
t17	5	4	1	3	2	210
t39	5	4	2	1	3	90
t25	5	4	2	1	3	210
t17	5	4	2	1	3	210
t39	5	4	2	3	1	90
t25	5	4	2	3	1	210
t17	5	4	2	3	1	210
t39	5	4	3	1	2	90
t25	5	4	3	1	2	210
t17	5	4	3	1	2	210
t39	5	4	3	2	1	90
t25	5	4	3	2	1	210
t17	5	4	3	2	1	210
