Branching	Index	Inherit	Length	Load	Nesting	Number	Sharing	filename	Uniform	Time
2	15248	True	13	95	0	2	0	model-15248.graphml	SCHED	0.10824541499999984
2	15249	True	13	95	0	2	0	model-15249.graphml	SCHED	0.12699915800000028
2	15250	True	13	95	0	2	0	model-15250.graphml	UNSCHED	0.46581766200000096
2	15251	True	13	98	0	2	0	model-15251.graphml	SCHED	0.08399093999999963
2	15252	True	13	98	0	2	0	model-15252.graphml	SCHED	0.12632888799999975
2	15253	True	13	98	0	2	0	model-15253.graphml	UNSCHED	0.19947280299999903
2	15254	True	13	98	0	2	0	model-15254.graphml	SCHED	0.1283845199999991
2	15255	True	13	98	0	2	0	model-15255.graphml	SCHED	0.1283576249999996
2	15256	True	13	98	0	2	0	model-15256.graphml	SCHED	0.0876902709999996
2	15257	True	13	98	0	2	0	model-15257.graphml	SCHED	0.10789370900000073
2	15258	True	13	98	0	2	0	model-15258.graphml	SCHED	0.1288106469999999
2	15259	True	13	98	0	2	0	model-15259.graphml	SCHED	0.09164402699999918
2	15260	True	13	98	0	2	0	model-15260.graphml	SCHED	0.11581581899999982
1	15261	True	13	50	0	2	1	model-15261.graphml	SCHED	0.04095282099999942
1	15262	True	13	50	0	2	1	model-15262.graphml	SCHED	0.041277221999999725
1	15263	True	13	50	0	2	1	model-15263.graphml	SCHED	0.04073701499999949
1	15264	True	13	50	0	2	1	model-15264.graphml	SCHED	0.043499653999999666
1	15265	True	13	50	0	2	1	model-15265.graphml	SCHED	0.040942677000000316
1	15266	True	13	50	0	2	1	model-15266.graphml	SCHED	0.04067691799999906
1	15267	True	13	50	0	2	1	model-15267.graphml	SCHED	0.040831875000000295
1	15268	True	13	50	0	2	1	model-15268.graphml	SCHED	0.04084389000000144
1	15269	True	13	50	0	2	1	model-15269.graphml	SCHED	0.040933893000000054
1	15270	True	13	50	0	2	1	model-15270.graphml	SCHED	0.041139164000000505
1	15271	True	13	60	0	2	1	model-15271.graphml	SCHED	0.040993336000001435
1	15272	True	13	60	0	2	1	model-15272.graphml	SCHED	0.041117022999999975
1	15273	True	13	60	0	2	1	model-15273.graphml	SCHED	0.04104864099999972
1	15274	True	13	60	0	2	1	model-15274.graphml	SCHED	0.0409395779999997
1	15275	True	13	60	0	2	1	model-15275.graphml	SCHED	0.04075745499999961
1	15276	True	13	60	0	2	1	model-15276.graphml	SCHED	0.040916076000000245
1	15277	True	13	60	0	2	1	model-15277.graphml	SCHED	0.04229663799999983
1	15278	True	13	60	0	2	1	model-15278.graphml	SCHED	0.04296382200000082
1	15279	True	13	60	0	2	1	model-15279.graphml	SCHED	0.04183099900000009
1	15280	True	13	60	0	2	1	model-15280.graphml	SCHED	0.042244562000000485
1	15281	True	13	70	0	2	1	model-15281.graphml	SCHED	0.043063794000000044
1	15282	True	13	70	0	2	1	model-15282.graphml	SCHED	0.04221118499999932
1	15283	True	13	70	0	2	1	model-15283.graphml	SCHED	0.04449322500000008
1	15284	True	13	70	0	2	1	model-15284.graphml	SCHED	0.04292133300000067
1	15285	True	13	70	0	2	1	model-15285.graphml	SCHED	0.041085761999999804
1	15286	True	13	70	0	2	1	model-15286.graphml	SCHED	0.04061045899999982
1	15287	True	13	70	0	2	1	model-15287.graphml	SCHED	0.040960546000000875
1	15288	True	13	70	0	2	1	model-15288.graphml	SCHED	0.041116948000000875
1	15289	True	13	70	0	2	1	model-15289.graphml	SCHED	0.04089745799999989
1	15290	True	13	70	0	2	1	model-15290.graphml	SCHED	0.04087936400000025
1	15291	True	13	80	0	2	1	model-15291.graphml	SCHED	0.04109237900000018
1	15292	True	13	80	0	2	1	model-15292.graphml	SCHED	0.04427920200000024
1	15293	True	13	80	0	2	1	model-15293.graphml	SCHED	0.04087853799999941
1	15294	True	13	80	0	2	1	model-15294.graphml	SCHED	0.04083145999999971
1	15295	True	13	80	0	2	1	model-15295.graphml	SCHED	0.04066578499999984
1	15296	True	13	80	0	2	1	model-15296.graphml	SCHED	0.040898992999998995
1	15297	True	13	80	0	2	1	model-15297.graphml	SCHED	0.04189341300000038
1	15298	True	13	80	0	2	1	model-15298.graphml	SCHED	0.04099457400000084
1	15299	True	13	80	0	2	1	model-15299.graphml	SCHED	0.0409319220000004
1	15300	True	13	80	0	2	1	model-15300.graphml	SCHED	0.0411385150000001
1	15301	True	13	90	0	2	1	model-15301.graphml	SCHED	0.04194090000000017
1	15302	True	13	90	0	2	1	model-15302.graphml	SCHED	0.043669343999999555
1	15303	True	13	90	0	2	1	model-15303.graphml	SCHED	0.04174819400000018
1	15304	True	13	90	0	2	1	model-15304.graphml	SCHED	0.0425603309999989
1	15305	True	13	90	0	2	1	model-15305.graphml	SCHED	0.04156973500000127
1	15306	True	13	90	0	2	1	model-15306.graphml	SCHED	0.041606193999999874
1	15307	True	13	90	0	2	1	model-15307.graphml	SCHED	0.04179827099999933
1	15308	True	13	90	0	2	1	model-15308.graphml	SCHED	0.04221995300000003
