Branching	Index	Inherit	Length	Load	Nesting	Number	Sharing	filename	Mixed	Time
1	15278	True	13	60	0	2	1	model-15278.graphml	SCHED	0.02956637800000017
1	15279	True	13	60	0	2	1	model-15279.graphml	SCHED	0.029828271000000406
1	15280	True	13	60	0	2	1	model-15280.graphml	SCHED	0.029652586000000092
1	15281	True	13	70	0	2	1	model-15281.graphml	SCHED	0.029606056000000436
1	15282	True	13	70	0	2	1	model-15282.graphml	SCHED	0.029657569999999467
1	15283	True	13	70	0	2	1	model-15283.graphml	SCHED	0.029659301999999776
1	15284	True	13	70	0	2	1	model-15284.graphml	SCHED	0.02969873199999995
1	15285	True	13	70	0	2	1	model-15285.graphml	SCHED	0.029569194000000465
1	15286	True	13	70	0	2	1	model-15286.graphml	SCHED	0.029635312999999996
1	15287	True	13	70	0	2	1	model-15287.graphml	SCHED	0.02940134599999933
1	15288	True	13	70	0	2	1	model-15288.graphml	SCHED	0.029546970999999367
1	15289	True	13	70	0	2	1	model-15289.graphml	SCHED	0.029520695999999624
1	15290	True	13	70	0	2	1	model-15290.graphml	SCHED	0.030028740000000553
1	15291	True	13	80	0	2	1	model-15291.graphml	SCHED	0.02971853200000041
1	15292	True	13	80	0	2	1	model-15292.graphml	SCHED	0.029270659999999893
1	15293	True	13	80	0	2	1	model-15293.graphml	SCHED	0.029645526000000366
1	15294	True	13	80	0	2	1	model-15294.graphml	SCHED	0.029757040999999873
1	15295	True	13	80	0	2	1	model-15295.graphml	SCHED	0.02945288899999987
1	15296	True	13	80	0	2	1	model-15296.graphml	SCHED	0.029590135000000295
1	15297	True	13	80	0	2	1	model-15297.graphml	SCHED	0.029591369000000256
1	15298	True	13	80	0	2	1	model-15298.graphml	SCHED	0.029715788000000742
1	15299	True	13	80	0	2	1	model-15299.graphml	SCHED	0.029848673999999242
1	15300	True	13	80	0	2	1	model-15300.graphml	SCHED	0.029668510999999675
1	15301	True	13	90	0	2	1	model-15301.graphml	SCHED	0.030355729000000053
1	15302	True	13	90	0	2	1	model-15302.graphml	SCHED	0.03008044200000004
1	15303	True	13	90	0	2	1	model-15303.graphml	SCHED	0.030246095999999945
1	15304	True	13	90	0	2	1	model-15304.graphml	SCHED	0.030725788999999892
1	15305	True	13	90	0	2	1	model-15305.graphml	SCHED	0.03032499400000077
1	15306	True	13	90	0	2	1	model-15306.graphml	SCHED	0.030292429000000176
1	15307	True	13	90	0	2	1	model-15307.graphml	SCHED	0.030088462999999344
1	15308	True	13	90	0	2	1	model-15308.graphml	SCHED	0.03013935799999956
1	15309	True	13	90	0	2	1	model-15309.graphml	SCHED	0.03057732800000057
1	15310	True	13	90	0	2	1	model-15310.graphml	SCHED	0.030208670999999576
1	15311	True	13	95	0	2	1	model-15311.graphml	SCHED	0.030138474000000137
1	15312	True	13	95	0	2	1	model-15312.graphml	SCHED	0.030503344999999626
1	15313	True	13	95	0	2	1	model-15313.graphml	SCHED	0.03011001499999999
1	15314	True	13	95	0	2	1	model-15314.graphml	SCHED	0.030243999999999716
1	15315	True	13	95	0	2	1	model-15315.graphml	SCHED	0.03074679499999977
1	15316	True	13	95	0	2	1	model-15316.graphml	SCHED	0.03038692300000001
1	15317	True	13	95	0	2	1	model-15317.graphml	SCHED	0.031041470000000793
1	15318	True	13	95	0	2	1	model-15318.graphml	SCHED	0.03041854399999977
1	15319	True	13	95	0	2	1	model-15319.graphml	SCHED	0.031027092999999617
1	15320	True	13	95	0	2	1	model-15320.graphml	SCHED	0.030368753999999498
1	15321	True	13	98	0	2	1	model-15321.graphml	SCHED	0.031670817000000184
1	15322	True	13	98	0	2	1	model-15322.graphml	SCHED	0.032919965000000495
1	15323	True	13	98	0	2	1	model-15323.graphml	SCHED	0.03144975199999944
1	15324	True	13	98	0	2	1	model-15324.graphml	SCHED	0.031827514999999806
1	15325	True	13	98	0	2	1	model-15325.graphml	SCHED	0.03157672399999978
1	15326	True	13	98	0	2	1	model-15326.graphml	SCHED	0.03226151299999991
1	15327	True	13	98	0	2	1	model-15327.graphml	SCHED	0.031671060999999945
1	15328	True	13	98	0	2	1	model-15328.graphml	SCHED	0.03165099099999935
1	15329	True	13	98	0	2	1	model-15329.graphml	SCHED	0.03156700999999984
1	15330	True	13	98	0	2	1	model-15330.graphml	SCHED	0.03201143400000017
2	15331	True	13	50	0	2	1	model-15331.graphml	SCHED	0.02872908700000032
2	15332	True	13	50	0	2	1	model-15332.graphml	SCHED	0.02851530499999999
2	15333	True	13	50	0	2	1	model-15333.graphml	SCHED	0.028556570000000114
2	15334	True	13	50	0	2	1	model-15334.graphml	SCHED	0.028802660000000202
2	15335	True	13	50	0	2	1	model-15335.graphml	SCHED	0.028476138000000262
2	15336	True	13	50	0	2	1	model-15336.graphml	SCHED	0.028450993000000757
2	15337	True	13	50	0	2	1	model-15337.graphml	SCHED	0.0284099289999995
2	15338	True	13	50	0	2	1	model-15338.graphml	SCHED	0.02893100000000004
2	15339	True	13	50	0	2	1	model-15339.graphml	SCHED	0.028555722000000117
2	15340	True	13	50	0	2	1	model-15340.graphml	SCHED	0.028512990000000293
2	15341	True	13	60	0	2	1	model-15341.graphml	SCHED	0.028612152000000002
2	15342	True	13	60	0	2	1	model-15342.graphml	SCHED	0.028580472999999884
2	15343	True	13	60	0	2	1	model-15343.graphml	SCHED	0.028548711000000893
2	15344	True	13	60	0	2	1	model-15344.graphml	SCHED	0.028733734999999427
2	15345	True	13	60	0	2	1	model-15345.graphml	SCHED	0.028541754000000807
2	15346	True	13	60	0	2	1	model-15346.graphml	SCHED	0.028608230999999762
2	15347	True	13	60	0	2	1	model-15347.graphml	SCHED	0.028541454000000854
2	15348	True	13	60	0	2	1	model-15348.graphml	SCHED	0.028486290000000025
2	15349	True	13	60	0	2	1	model-15349.graphml	SCHED	0.02917141699999881
2	15350	True	13	60	0	2	1	model-15350.graphml	SCHED	0.028833194999998923
2	15351	True	13	70	0	2	1	model-15351.graphml	SCHED	0.028698016999999965
2	15352	True	13	70	0	2	1	model-15352.graphml	SCHED	0.02853663800000028
2	15353	True	13	70	0	2	1	model-15353.graphml	SCHED	0.028673596000000856
2	15354	True	13	70	0	2	1	model-15354.graphml	SCHED	0.02849267300000058
2	15355	True	13	70	0	2	1	model-15355.graphml	SCHED	0.028765758000000474
2	15356	True	13	70	0	2	1	model-15356.graphml	SCHED	0.028503953000001303
2	15357	True	13	70	0	2	1	model-15357.graphml	SCHED	0.028539954999999395
2	15358	True	13	70	0	2	1	model-15358.graphml	SCHED	0.028860097000000806
2	15359	True	13	70	0	2	1	model-15359.graphml	SCHED	0.028604964999999538
2	15360	True	13	70	0	2	1	model-15360.graphml	SCHED	0.028668670000000063
2	15361	True	13	80	0	2	1	model-15361.graphml	SCHED	0.028746538000000044
2	15362	True	13	80	0	2	1	model-15362.graphml	SCHED	0.02849713700000045
2	15363	True	13	80	0	2	1	model-15363.graphml	SCHED	0.02852138299999929
2	15364	True	13	80	0	2	1	model-15364.graphml	SCHED	0.028686965999998648
