Branching	Index	Inherit	Length	Load	Nesting	Number	Sharing	filename	EMSOFT17	Time
2	115	False	13	90	0	2	0	model-115.graphml	SCHED	0.08004824400000032
2	116	False	13	90	0	2	0	model-116.graphml	SCHED	0.10433735199999994
2	117	False	13	90	0	2	0	model-117.graphml	SCHED	0.06144444100000079
2	118	False	13	90	0	2	0	model-118.graphml	SCHED	0.08355036599999899
2	119	False	13	90	0	2	0	model-119.graphml	SCHED	0.06788876699999946
2	120	False	13	90	0	2	0	model-120.graphml	SCHED	0.09946309299999889
2	121	False	13	95	0	2	0	model-121.graphml	SCHED	0.11979493299999966
2	122	False	13	95	0	2	0	model-122.graphml	SCHED	0.10026564600000043
2	123	False	13	95	0	2	0	model-123.graphml	SCHED	0.08424536300000085
2	124	False	13	95	0	2	0	model-124.graphml	SCHED	0.08146614899999882
2	125	False	13	95	0	2	0	model-125.graphml	SCHED	0.12899482599999956
2	126	False	13	95	0	2	0	model-126.graphml	SCHED	0.13272057500000045
2	127	False	13	95	0	2	0	model-127.graphml	SCHED	0.12302922699999996
2	128	False	13	95	0	2	0	model-128.graphml	SCHED	0.0992651070000008
2	129	False	13	95	0	2	0	model-129.graphml	SCHED	0.09192385800000125
2	130	False	13	95	0	2	0	model-130.graphml	SCHED	0.1393470239999992
2	131	False	13	98	0	2	0	model-131.graphml	SCHED	0.19812789400000064
2	132	False	13	98	0	2	0	model-132.graphml	SCHED	0.29707137100000125
2	133	False	13	98	0	2	0	model-133.graphml	SCHED	0.21066782700000175
2	134	False	13	98	0	2	0	model-134.graphml	SCHED	0.10234442599999838
2	135	False	13	98	0	2	0	model-135.graphml	SCHED	0.16580255099999874
2	136	False	13	98	0	2	0	model-136.graphml	SCHED	0.22439972700000155
2	137	False	13	98	0	2	0	model-137.graphml	SCHED	0.12993215300000216
2	138	False	13	98	0	2	0	model-138.graphml	SCHED	0.1100782020000004
2	139	False	13	98	0	2	0	model-139.graphml	SCHED	0.32028123899999983
2	140	False	13	98	0	2	0	model-140.graphml	SCHED	0.13238580799999866
1	141	False	13	50	0	2	1	model-141.graphml	SCHED	0.07925100199999946
1	142	False	13	50	0	2	1	model-142.graphml	SCHED	0.06587747800000088
1	143	False	13	50	0	2	1	model-143.graphml	SCHED	0.0714162260000002
1	144	False	13	50	0	2	1	model-144.graphml	SCHED	0.06272623099999919
1	145	False	13	50	0	2	1	model-145.graphml	SCHED	0.06215433199999865
1	146	False	13	50	0	2	1	model-146.graphml	SCHED	0.07343244799999837
1	147	False	13	50	0	2	1	model-147.graphml	SCHED	0.08595211600000141
1	148	False	13	50	0	2	1	model-148.graphml	SCHED	0.06638530800000098
1	149	False	13	50	0	2	1	model-149.graphml	SCHED	0.0718152599999975
1	150	False	13	50	0	2	1	model-150.graphml	SCHED	0.07952650100000014
1	151	False	13	60	0	2	1	model-151.graphml	SCHED	0.06879284300000066
1	152	False	13	60	0	2	1	model-152.graphml	SCHED	0.10075282899999749
1	153	False	13	60	0	2	1	model-153.graphml	SCHED	0.08412754700000136
1	154	False	13	60	0	2	1	model-154.graphml	SCHED	0.08102989400000027
1	155	False	13	60	0	2	1	model-155.graphml	SCHED	0.09356302700000185
1	156	False	13	60	0	2	1	model-156.graphml	SCHED	0.06268326500000043
1	157	False	13	60	0	2	1	model-157.graphml	SCHED	0.06171663900000013
1	158	False	13	60	0	2	1	model-158.graphml	SCHED	0.07649485800000022
1	159	False	13	60	0	2	1	model-159.graphml	SCHED	0.05844011800000004
1	160	False	13	60	0	2	1	model-160.graphml	SCHED	0.0661379050000015
1	161	False	13	70	0	2	1	model-161.graphml	SCHED	0.08296069200000034
1	162	False	13	70	0	2	1	model-162.graphml	SCHED	0.08936417699999666
1	163	False	13	70	0	2	1	model-163.graphml	SCHED	0.05677306099999768
1	164	False	13	70	0	2	1	model-164.graphml	SCHED	0.06685264000000046
1	165	False	13	70	0	2	1	model-165.graphml	SCHED	0.05912686000000278
1	166	False	13	70	0	2	1	model-166.graphml	SCHED	0.10898554499999946
1	167	False	13	70	0	2	1	model-167.graphml	SCHED	0.06365192999999891
1	168	False	13	70	0	2	1	model-168.graphml	SCHED	0.10816094399999798
1	169	False	13	70	0	2	1	model-169.graphml	SCHED	0.10276394499999952
1	170	False	13	70	0	2	1	model-170.graphml	SCHED	0.07872850200000059
1	171	False	13	80	0	2	1	model-171.graphml	SCHED	0.08323959299999828
1	172	False	13	80	0	2	1	model-172.graphml	SCHED	0.08082529300000019
1	173	False	13	80	0	2	1	model-173.graphml	SCHED	0.06966196199999786
1	174	False	13	80	0	2	1	model-174.graphml	SCHED	0.08716511800000148
1	175	False	13	80	0	2	1	model-175.graphml	SCHED	0.08140371300000027
1	176	False	13	80	0	2	1	model-176.graphml	SCHED	0.06796194100000008
1	177	False	13	80	0	2	1	model-177.graphml	SCHED	0.09127257200000116
1	178	False	13	80	0	2	1	model-178.graphml	SCHED	0.06701447200000032
1	179	False	13	80	0	2	1	model-179.graphml	SCHED	0.07291837799999712
1	180	False	13	80	0	2	1	model-180.graphml	SCHED	0.07992412699999818
1	181	False	13	90	0	2	1	model-181.graphml	SCHED	0.09413309099999978
1	182	False	13	90	0	2	1	model-182.graphml	SCHED	0.09188368599999919
1	183	False	13	90	0	2	1	model-183.graphml	SCHED	0.1930464150000013
1	184	False	13	90	0	2	1	model-184.graphml	SCHED	0.07782887800000182
1	185	False	13	90	0	2	1	model-185.graphml	SCHED	0.11950129999999959
1	186	False	13	90	0	2	1	model-186.graphml	SCHED	0.08967565800000088
1	187	False	13	90	0	2	1	model-187.graphml	SCHED	0.20473871599999782
