Branching	Index	Inherit	Length	Load	Nesting	Number	Sharing	filename	Path	Mixed
1	15274	False	13	60	0	2	1	model-15274.graphml	T25	1084
1	15275	False	13	60	0	2	1	model-15275.graphml	T12	1084
1	15276	False	13	60	0	2	1	model-15276.graphml	T25	1084
1	15277	False	13	60	0	2	1	model-15277.graphml	T25	1084
1	15278	False	13	60	0	2	1	model-15278.graphml	T12	1084
1	15279	False	13	60	0	2	1	model-15279.graphml	T12	1084
1	15280	False	13	60	0	2	1	model-15280.graphml	T25	1084
1	15281	False	13	70	0	2	1	model-15281.graphml	T12	1717
1	15282	False	13	70	0	2	1	model-15282.graphml	T25	1310
1	15283	False	13	70	0	2	1	model-15283.graphml	T12	1717
1	15284	False	13	70	0	2	1	model-15284.graphml	T25	1310
1	15285	False	13	70	0	2	1	model-15285.graphml	T12	1717
1	15286	False	13	70	0	2	1	model-15286.graphml	T12	1717
1	15287	False	13	70	0	2	1	model-15287.graphml	T25	1310
1	15288	False	13	70	0	2	1	model-15288.graphml	T25	1310
1	15289	False	13	70	0	2	1	model-15289.graphml	T12	1717
1	15290	False	13	70	0	2	1	model-15290.graphml	T12	1717
1	15291	False	13	80	0	2	1	model-15291.graphml	T12	2148
1	15292	False	13	80	0	2	1	model-15292.graphml	T25	3383
1	15293	False	13	80	0	2	1	model-15293.graphml	T25	3383
1	15294	False	13	80	0	2	1	model-15294.graphml	T25	3383
1	15295	False	13	80	0	2	1	model-15295.graphml	T12	2148
1	15296	False	13	80	0	2	1	model-15296.graphml	T25	3383
1	15297	False	13	80	0	2	1	model-15297.graphml	T25	3383
1	15298	False	13	80	0	2	1	model-15298.graphml	T12	2148
1	15299	False	13	80	0	2	1	model-15299.graphml	T12	2148
1	15300	False	13	80	0	2	1	model-15300.graphml	T12	2148
1	15301	False	13	90	0	2	1	model-15301.graphml	T12	3785
1	15302	False	13	90	0	2	1	model-15302.graphml	T12	3785
1	15303	False	13	90	0	2	1	model-15303.graphml	T25	3805
1	15304	False	13	90	0	2	1	model-15304.graphml	T12	3785
1	15305	False	13	90	0	2	1	model-15305.graphml	T25	3805
1	15306	False	13	90	0	2	1	model-15306.graphml	T25	3805
1	15307	False	13	90	0	2	1	model-15307.graphml	T25	3805
1	15308	False	13	90	0	2	1	model-15308.graphml	T12	3785
1	15309	False	13	90	0	2	1	model-15309.graphml	T25	3805
1	15310	False	13	90	0	2	1	model-15310.graphml	T25	3805
1	15311	False	13	95	0	2	1	model-15311.graphml	T25	4400
1	15312	False	13	95	0	2	1	model-15312.graphml	T25	4400
1	15313	False	13	95	0	2	1	model-15313.graphml	T12	3996
1	15314	False	13	95	0	2	1	model-15314.graphml	T12	3996
1	15315	False	13	95	0	2	1	model-15315.graphml	T12	3996
1	15316	False	13	95	0	2	1	model-15316.graphml	T25	4400
1	15317	False	13	95	0	2	1	model-15317.graphml	T12	3996
1	15318	False	13	95	0	2	1	model-15318.graphml	T25	4400
1	15319	False	13	95	0	2	1	model-15319.graphml	T25	4400
1	15320	False	13	95	0	2	1	model-15320.graphml	T25	4400
1	15321	False	13	98	0	2	1	model-15321.graphml	T12	8194
1	15322	False	13	98	0	2	1	model-15322.graphml	T25	8663
1	15323	False	13	98	0	2	1	model-15323.graphml	T12	8194
1	15324	False	13	98	0	2	1	model-15324.graphml	T25	8663
1	15325	False	13	98	0	2	1	model-15325.graphml	T12	8194
1	15326	False	13	98	0	2	1	model-15326.graphml	T25	8663
1	15327	False	13	98	0	2	1	model-15327.graphml	T25	8663
1	15328	False	13	98	0	2	1	model-15328.graphml	T25	8663
1	15329	False	13	98	0	2	1	model-15329.graphml	T25	8663
1	15330	False	13	98	0	2	1	model-15330.graphml	T12	8194
2	15331	False	13	50	0	2	1	model-15331.graphml	T12	2702
2	15332	False	13	50	0	2	1	model-15332.graphml	T12	2702
2	15333	False	13	50	0	2	1	model-15333.graphml	T12	2702
2	15334	False	13	50	0	2	1	model-15334.graphml	T12	2702
2	15335	False	13	50	0	2	1	model-15335.graphml	T20	2702
2	15336	False	13	50	0	2	1	model-15336.graphml	T20	2702
2	15337	False	13	50	0	2	1	model-15337.graphml	T12	2702
2	15338	False	13	50	0	2	1	model-15338.graphml	T20	2702
2	15339	False	13	50	0	2	1	model-15339.graphml	T12	2702
2	15340	False	13	50	0	2	1	model-15340.graphml	T12	2702
2	15341	False	13	60	0	2	1	model-15341.graphml	T12	3242
2	15342	False	13	60	0	2	1	model-15342.graphml	T12	3242
2	15343	False	13	60	0	2	1	model-15343.graphml	T20	3242
2	15344	False	13	60	0	2	1	model-15344.graphml	T20	3242
2	15345	False	13	60	0	2	1	model-15345.graphml	T12	3242
2	15346	False	13	60	0	2	1	model-15346.graphml	T20	3242
2	15347	False	13	60	0	2	1	model-15347.graphml	T20	3242
2	15348	False	13	60	0	2	1	model-15348.graphml	T20	3242
2	15349	False	13	60	0	2	1	model-15349.graphml	T20	3242
2	15350	False	13	60	0	2	1	model-15350.graphml	T12	3242
2	15351	False	13	70	0	2	1	model-15351.graphml	T12	3782
2	15352	False	13	70	0	2	1	model-15352.graphml	T12	3782
2	15353	False	13	70	0	2	1	model-15353.graphml	T12	3782
2	15354	False	13	70	0	2	1	model-15354.graphml	T20	3782
2	15355	False	13	70	0	2	1	model-15355.graphml	T12	3782
2	15356	False	13	70	0	2	1	model-15356.graphml	T20	3782
2	15357	False	13	70	0	2	1	model-15357.graphml	T20	3782
2	15358	False	13	70	0	2	1	model-15358.graphml	T12	3782
2	15359	False	13	70	0	2	1	model-15359.graphml	T12	3782
2	15360	False	13	70	0	2	1	model-15360.graphml	T12	3782
2	15361	False	13	80	0	2	1	model-15361.graphml	T20	4323
2	15362	False	13	80	0	2	1	model-15362.graphml	T12	4323
