Branching	Index	Inherit	Length	Load	Nesting	Number	Sharing	filename	CPA	Time
2	140	False	13	98	0	2	0	model-140.graphml	UNSCHED	1.0075486900000215
1	141	False	13	50	0	2	1	model-141.graphml	UNSCHED	16.03031062299999
1	142	False	13	50	0	2	1	model-142.graphml	UNSCHED	40.340684107000016
1	143	False	13	50	0	2	1	model-143.graphml	UNSCHED	16.97202624099998
1	144	False	13	50	0	2	1	model-144.graphml	UNSCHED	43.589059443
1	145	False	13	50	0	2	1	model-145.graphml	TIMEOUT	60.04168751199995
1	146	False	13	50	0	2	1	model-146.graphml	UNSCHED	17.43905822199997
1	147	False	13	50	0	2	1	model-147.graphml	UNSCHED	22.738107375999903
1	148	False	13	50	0	2	1	model-148.graphml	UNSCHED	32.519349466999984
1	149	False	13	50	0	2	1	model-149.graphml	TIMEOUT	60.013161283000045
1	150	False	13	50	0	2	1	model-150.graphml	UNSCHED	29.21587580900018
1	151	False	13	60	0	2	1	model-151.graphml	UNSCHED	10.004331385999876
1	152	False	13	60	0	2	1	model-152.graphml	UNSCHED	6.67358894500012
1	153	False	13	60	0	2	1	model-153.graphml	UNSCHED	11.42414729799998
1	154	False	13	60	0	2	1	model-154.graphml	UNSCHED	12.931432555000129
1	155	False	13	60	0	2	1	model-155.graphml	UNSCHED	4.082683280999845
1	156	False	13	60	0	2	1	model-156.graphml	UNSCHED	5.834271575999992
1	157	False	13	60	0	2	1	model-157.graphml	UNSCHED	13.015821965999976
1	158	False	13	60	0	2	1	model-158.graphml	UNSCHED	10.568408594000175
1	159	False	13	60	0	2	1	model-159.graphml	UNSCHED	30.302229865000072
1	160	False	13	60	0	2	1	model-160.graphml	UNSCHED	13.864102740999897
1	161	False	13	70	0	2	1	model-161.graphml	UNSCHED	3.9226914099999703
1	162	False	13	70	0	2	1	model-162.graphml	UNSCHED	4.187817019000022
1	163	False	13	70	0	2	1	model-163.graphml	UNSCHED	27.56827466300001
1	164	False	13	70	0	2	1	model-164.graphml	UNSCHED	2.4644193219999124
1	165	False	13	70	0	2	1	model-165.graphml	UNSCHED	11.54850400500004
1	166	False	13	70	0	2	1	model-166.graphml	UNSCHED	3.591324712999949
1	167	False	13	70	0	2	1	model-167.graphml	UNSCHED	13.11105171600002
1	168	False	13	70	0	2	1	model-168.graphml	UNSCHED	2.2282508509999843
1	169	False	13	70	0	2	1	model-169.graphml	UNSCHED	3.3727413229999
1	170	False	13	70	0	2	1	model-170.graphml	UNSCHED	1.2759798960000808
1	171	False	13	80	0	2	1	model-171.graphml	UNSCHED	0.5990702389999569
1	172	False	13	80	0	2	1	model-172.graphml	UNSCHED	3.835801407999952
1	173	False	13	80	0	2	1	model-173.graphml	UNSCHED	19.97570506199986
1	174	False	13	80	0	2	1	model-174.graphml	UNSCHED	0.742198733999885
1	175	False	13	80	0	2	1	model-175.graphml	UNSCHED	0.32480890600004386
1	176	False	13	80	0	2	1	model-176.graphml	UNSCHED	13.457268017999922
1	177	False	13	80	0	2	1	model-177.graphml	UNSCHED	3.6734170239999457
1	178	False	13	80	0	2	1	model-178.graphml	UNSCHED	1.3870669059999727
1	179	False	13	80	0	2	1	model-179.graphml	UNSCHED	0.5170046139999158
1	180	False	13	80	0	2	1	model-180.graphml	UNSCHED	8.0028381730001
1	181	False	13	90	0	2	1	model-181.graphml	UNSCHED	0.3518267740000738
1	182	False	13	90	0	2	1	model-182.graphml	UNSCHED	7.6993613329998425
1	183	False	13	90	0	2	1	model-183.graphml	UNSCHED	0.31196822600009
1	184	False	13	90	0	2	1	model-184.graphml	UNSCHED	7.975535762000163
1	185	False	13	90	0	2	1	model-185.graphml	UNSCHED	0.9923066279998238
1	186	False	13	90	0	2	1	model-186.graphml	UNSCHED	7.790821091999987
1	187	False	13	90	0	2	1	model-187.graphml	UNSCHED	0.32881034599995473
1	188	False	13	90	0	2	1	model-188.graphml	UNSCHED	0.9819677969999248
1	189	False	13	90	0	2	1	model-189.graphml	UNSCHED	4.392423558999781
1	190	False	13	90	0	2	1	model-190.graphml	UNSCHED	1.3048704119999002
1	191	False	13	95	0	2	1	model-191.graphml	UNSCHED	0.41094191699994553
1	192	False	13	95	0	2	1	model-192.graphml	UNSCHED	1.3578422890000184
1	193	False	13	95	0	2	1	model-193.graphml	UNSCHED	0.41969904100005806
1	194	False	13	95	0	2	1	model-194.graphml	UNSCHED	2.0704917789998944
1	195	False	13	95	0	2	1	model-195.graphml	UNSCHED	0.291501247000042
1	196	False	13	95	0	2	1	model-196.graphml	UNSCHED	1.6637477179999678
1	197	False	13	95	0	2	1	model-197.graphml	UNSCHED	1.2734390359998997
1	198	False	13	95	0	2	1	model-198.graphml	UNSCHED	0.8106709610001417
1	199	False	13	95	0	2	1	model-199.graphml	UNSCHED	0.3546937829999024
1	200	False	13	95	0	2	1	model-200.graphml	UNSCHED	0.7484567630001493
1	201	False	13	98	0	2	1	model-201.graphml	UNSCHED	0.7644710039999154
1	202	False	13	98	0	2	1	model-202.graphml	UNSCHED	0.3696516039999551
1	203	False	13	98	0	2	1	model-203.graphml	UNSCHED	0.29262710900002276
1	204	False	13	98	0	2	1	model-204.graphml	UNSCHED	1.0983197279999786
1	205	False	13	98	0	2	1	model-205.graphml	UNSCHED	1.0638808219998737
1	206	False	13	98	0	2	1	model-206.graphml	UNSCHED	1.0494867449999674
1	207	False	13	98	0	2	1	model-207.graphml	UNSCHED	0.9151827800001229
1	208	False	13	98	0	2	1	model-208.graphml	UNSCHED	1.4633355559999472
1	209	False	13	98	0	2	1	model-209.graphml	UNSCHED	0.3033386080001037
1	210	False	13	98	0	2	1	model-210.graphml	UNSCHED	1.588702583999975
2	211	False	13	50	0	2	1	model-211.graphml	UNSCHED	4.833124196999961
2	212	False	13	50	0	2	1	model-212.graphml	UNSCHED	3.6364272959999653
2	213	False	13	50	0	2	1	model-213.graphml	UNSCHED	10.709977226999854
2	214	False	13	50	0	2	1	model-214.graphml	UNSCHED	9.486454472000105
2	215	False	13	50	0	2	1	model-215.graphml	UNSCHED	13.473236411000016
2	216	False	13	50	0	2	1	model-216.graphml	UNSCHED	4.282330093999917
2	217	False	13	50	0	2	1	model-217.graphml	UNSCHED	5.823690184000043
2	218	False	13	50	0	2	1	model-218.graphml	UNSCHED	4.311456217000114
2	219	False	13	50	0	2	1	model-219.graphml	UNSCHED	5.860696214999962
2	220	False	13	50	0	2	1	model-220.graphml	UNSCHED	2.4580579640000906
2	221	False	13	60	0	2	1	model-221.graphml	UNSCHED	2.187771657999974
2	222	False	13	60	0	2	1	model-222.graphml	UNSCHED	3.2880805290001263
