Chain	ctx11	ctx12	ctx13	ctx21	ctx22	ctx23	STD	TC	SYNC	SYNCREF
t13	1	2	6	5	3	4	217	61	35	35
t23	1	2	6	5	4	3	302	39	29	29
t13	1	2	6	5	4	3	232	61	35	35
t23	1	3	2	4	5	6	1138	173	113	113
t13	1	3	2	4	5	6	136	28	17	17
t23	1	3	2	4	6	5	1163	173	113	113
t13	1	3	2	4	6	5	136	28	17	17
t23	1	3	2	5	4	6	5081	173	113	113
t13	1	3	2	5	4	6	136	28	17	17
t23	1	3	2	5	6	4	3032	173	113	113
t13	1	3	2	5	6	4	136	28	17	17
t23	1	3	2	6	4	5	0	173	113	113
t13	1	3	2	6	4	5	0	28	17	17
t23	1	3	2	6	5	4	0	173	113	113
t13	1	3	2	6	5	4	0	28	17	17
t23	1	3	4	2	5	6	494	173	113	113
t13	1	3	4	2	5	6	78	31	20	20
t23	1	3	4	2	6	5	595	173	113	113
t13	1	3	4	2	6	5	78	31	20	20
t23	1	3	4	5	2	6	0	173	113	113
t13	1	3	4	5	2	6	0	47	26	26
t23	1	3	4	5	6	2	0	173	113	113
t13	1	3	4	5	6	2	0	34	22	22
t23	1	3	4	6	2	5	0	173	113	113
t13	1	3	4	6	2	5	0	47	26	26
t23	1	3	4	6	5	2	0	173	113	113
t13	1	3	4	6	5	2	0	34	22	22
t23	1	3	5	2	4	6	373	173	113	113
t13	1	3	5	2	4	6	112	51	29	29
t23	1	3	5	2	6	4	453	173	113	113
t13	1	3	5	2	6	4	152	46	25	25
t23	1	3	5	4	2	6	485	173	113	113
t13	1	3	5	4	2	6	138	51	29	29
t23	1	3	5	4	6	2	1017	173	113	113
t13	1	3	5	4	6	2	360	46	25	25
t23	1	3	5	6	2	4	0	173	113	113
t13	1	3	5	6	2	4	0	53	31	31
t23	1	3	5	6	4	2	0	173	113	113
t13	1	3	5	6	4	2	0	53	31	31
t23	1	3	6	2	4	5	118	39	29	29
t13	1	3	6	2	4	5	155	61	35	35
t23	1	3	6	2	5	4	119	39	29	29
t13	1	3	6	2	5	4	167	61	35	35
t23	1	3	6	4	2	5	165	39	29	29
t13	1	3	6	4	2	5	198	61	35	35
t23	1	3	6	4	5	2	149	39	29	29
t13	1	3	6	4	5	2	201	61	35	35
t23	1	3	6	5	2	4	285	39	29	29
t13	1	3	6	5	2	4	275	61	35	35
t23	1	3	6	5	4	2	284	39	29	29
t13	1	3	6	5	4	2	290	61	35	35
t23	1	4	2	3	5	6	1396	173	113	113
t13	1	4	2	3	5	6	224	31	20	20
t23	1	4	2	3	6	5	1459	173	113	113
t13	1	4	2	3	6	5	224	31	20	20
t23	1	4	2	5	3	6	0	173	113	113
t13	1	4	2	5	3	6	0	47	26	26
t23	1	4	2	5	6	3	0	173	113	113
t13	1	4	2	5	6	3	0	34	22	22
t23	1	4	2	6	3	5	0	173	113	113
t13	1	4	2	6	3	5	0	47	26	26
t23	1	4	2	6	5	3	0	173	113	113
t13	1	4	2	6	5	3	0	34	22	22
t23	1	4	3	2	5	6	1019	173	113	113
t13	1	4	3	2	5	6	227	31	20	20
t23	1	4	3	2	6	5	1121	173	113	113
t13	1	4	3	2	6	5	227	31	20	20
t23	1	4	3	5	2	6	0	173	113	113
t13	1	4	3	5	2	6	0	47	26	26
t23	1	4	3	5	6	2	0	173	113	113
t13	1	4	3	5	6	2	0	34	22	22
t23	1	4	3	6	2	5	0	173	113	113
t13	1	4	3	6	2	5	0	47	26	26
t23	1	4	3	6	5	2	0	173	113	113
t13	1	4	3	6	5	2	0	34	22	22
t23	1	4	5	2	3	6	396	173	113	113
t13	1	4	5	2	3	6	150	51	29	29
t23	1	4	5	2	6	3	558	173	113	113
t13	1	4	5	2	6	3	254	46	25	25
t23	1	4	5	3	2	6	449	173	113	113
t13	1	4	5	3	2	6	150	51	29	29
t23	1	4	5	3	6	2	942	173	113	113
t13	1	4	5	3	6	2	362	46	25	25
t23	1	4	5	6	2	3	0	173	113	113
t13	1	4	5	6	2	3	0	53	31	31
t23	1	4	5	6	3	2	0	173	113	113
t13	1	4	5	6	3	2	0	53	31	31
t23	1	4	6	2	3	5	100	39	29	29
t13	1	4	6	2	3	5	189	61	35	35
t23	1	4	6	2	5	3	113	39	29	29
t13	1	4	6	2	5	3	196	61	35	35
