Chain	ctx11	ctx12	ctx13	ctx21	ctx22	ctx23	STD	TC	ASYNC
t23	1	5	4	6	2	3	0	173	173
t13	1	5	4	6	2	3	0	28	55
t23	1	5	4	6	3	2	0	173	173
t13	1	5	4	6	3	2	0	28	55
t23	1	5	6	2	3	4	92	47	47
t13	1	5	6	2	3	4	213	75	75
t23	1	5	6	2	4	3	93	47	47
t13	1	5	6	2	4	3	229	75	75
t23	1	5	6	3	2	4	108	47	47
t13	1	5	6	3	2	4	230	75	75
t23	1	5	6	3	4	2	100	47	47
t13	1	5	6	3	4	2	246	75	75
t23	1	5	6	4	2	3	163	47	47
t13	1	5	6	4	2	3	283	75	75
t23	1	5	6	4	3	2	146	47	47
t13	1	5	6	4	3	2	283	75	75
t23	1	6	2	3	4	5	0	51	51
t13	1	6	2	3	4	5	0	75	75
t23	1	6	2	3	5	4	0	51	51
t13	1	6	2	3	5	4	0	75	75
t23	1	6	2	4	3	5	0	51	51
t13	1	6	2	4	3	5	0	75	75
t23	1	6	2	4	5	3	0	51	51
t13	1	6	2	4	5	3	0	75	75
t23	1	6	2	5	3	4	0	51	51
t13	1	6	2	5	3	4	0	75	75
t23	1	6	2	5	4	3	0	51	51
t13	1	6	2	5	4	3	0	75	75
t23	1	6	3	2	4	5	0	51	51
t13	1	6	3	2	4	5	0	75	75
t23	1	6	3	2	5	4	0	51	51
t13	1	6	3	2	5	4	0	75	75
t23	1	6	3	4	2	5	0	51	51
t13	1	6	3	4	2	5	0	75	75
t23	1	6	3	4	5	2	0	51	51
t13	1	6	3	4	5	2	0	75	75
t23	1	6	3	5	2	4	0	51	51
t13	1	6	3	5	2	4	0	75	75
t23	1	6	3	5	4	2	0	51	51
t13	1	6	3	5	4	2	0	75	75
t23	1	6	4	2	3	5	0	51	51
t13	1	6	4	2	3	5	0	75	75
t23	1	6	4	2	5	3	0	51	51
t13	1	6	4	2	5	3	0	75	75
t23	1	6	4	3	2	5	0	51	51
t13	1	6	4	3	2	5	0	75	75
t23	1	6	4	3	5	2	0	51	51
t13	1	6	4	3	5	2	0	75	75
t23	1	6	4	5	2	3	0	51	51
t13	1	6	4	5	2	3	0	75	75
t23	1	6	4	5	3	2	0	51	51
t13	1	6	4	5	3	2	0	75	75
t23	1	6	5	2	3	4	0	47	47
