Chain	ctx11	ctx12	ctx13	ctx21	ctx22	ctx23	STD	TC	ASYNC
t23	6	3	2	4	1	5	0	17	23
t13	6	3	2	4	1	5	0	75	75
t23	6	3	2	4	5	1	0	17	23
t13	6	3	2	4	5	1	0	75	75
t23	6	3	2	5	1	4	0	17	23
t13	6	3	2	5	1	4	0	75	75
t23	6	3	2	5	4	1	0	17	23
t13	6	3	2	5	4	1	0	75	75
t23	6	3	4	1	2	5	102	17	23
t13	6	3	4	1	2	5	194	75	75
t23	6	3	4	1	5	2	110	17	23
t13	6	3	4	1	5	2	216	75	75
t23	6	3	4	2	1	5	108	17	23
t13	6	3	4	2	1	5	194	75	75
t23	6	3	4	2	5	1	133	17	23
t13	6	3	4	2	5	1	235	75	75
t23	6	3	4	5	1	2	296	17	23
t13	6	3	4	5	1	2	508	75	75
t23	6	3	4	5	2	1	355	17	23
t13	6	3	4	5	2	1	608	75	75
t23	6	3	5	1	2	4	48	17	19
t13	6	3	5	1	2	4	199	75	75
t23	6	3	5	1	4	2	44	17	19
t13	6	3	5	1	4	2	195	75	75
t23	6	3	5	2	1	4	54	17	19
t13	6	3	5	2	1	4	199	75	75
t23	6	3	5	2	4	1	46	17	19
t13	6	3	5	2	4	1	200	75	75
t23	6	3	5	4	1	2	58	17	19
t13	6	3	5	4	1	2	230	75	75
t23	6	3	5	4	2	1	54	17	19
t13	6	3	5	4	2	1	230	75	75
t23	6	4	1	2	3	5	716	17	23
t13	6	4	1	2	3	5	762	75	75
t23	6	4	1	2	5	3	956	17	23
t13	6	4	1	2	5	3	1034	75	75
t23	6	4	1	3	2	5	1186	17	23
t13	6	4	1	3	2	5	1175	75	75
t23	6	4	1	3	5	2	1947	17	23
t13	6	4	1	3	5	2	1987	75	75
t23	6	4	1	5	2	3	0	17	23
t13	6	4	1	5	2	3	0	75	75
t23	6	4	1	5	3	2	0	17	23
t13	6	4	1	5	3	2	0	75	75
t23	6	4	2	1	3	5	244	17	23
t13	6	4	2	1	3	5	356	75	75
t23	6	4	2	1	5	3	345	17	23
t13	6	4	2	1	5	3	480	75	75
t23	6	4	2	3	1	5	649	17	23
t13	6	4	2	3	1	5	872	75	75
t23	6	4	2	3	5	1	1503	17	23
t13	6	4	2	3	5	1	2082	75	75
t23	6	4	2	5	1	3	0	17	23
t13	6	4	2	5	1	3	0	75	75
t23	6	4	2	5	3	1	0	17	23
t13	6	4	2	5	3	1	0	75	75
t23	6	4	3	1	2	5	156	17	23
t13	6	4	3	1	2	5	326	75	75
t23	6	4	3	1	5	2	234	17	23
t13	6	4	3	1	5	2	503	75	75
t23	6	4	3	2	1	5	168	17	23
t13	6	4	3	2	1	5	349	75	75
t23	6	4	3	2	5	1	252	17	23
t13	6	4	3	2	5	1	526	75	75
t23	6	4	3	5	1	2	0	17	23
t13	6	4	3	5	1	2	0	75	75
t23	6	4	3	5	2	1	0	17	23
t13	6	4	3	5	2	1	0	75	75
t23	6	4	5	1	2	3	32	17	17
t13	6	4	5	1	2	3	212	75	75
t23	6	4	5	1	3	2	28	17	17
t13	6	4	5	1	3	2	212	75	75
t23	6	4	5	2	1	3	38	17	17
t13	6	4	5	2	1	3	212	75	75
t23	6	4	5	2	3	1	30	17	17
t13	6	4	5	2	3	1	212	75	75
t23	6	4	5	3	1	2	40	17	17
t13	6	4	5	3	1	2	216	75	75
t23	6	4	5	3	2	1	36	17	17
t13	6	4	5	3	2	1	221	75	75
t23	6	5	1	2	3	4	0	17	21
t13	6	5	1	2	3	4	0	75	75
t23	6	5	1	2	4	3	0	17	21
t13	6	5	1	2	4	3	0	75	75
t23	6	5	1	3	2	4	0	17	21
t13	6	5	1	3	2	4	0	75	75
t23	6	5	1	3	4	2	0	17	21
t13	6	5	1	3	4	2	0	75	75
t23	6	5	1	4	2	3	0	17	21
t13	6	5	1	4	2	3	0	75	75
t23	6	5	1	4	3	2	0	17	21
t13	6	5	1	4	3	2	0	75	75
t23	6	5	2	1	3	4	276	17	21
t13	6	5	2	1	3	4	528	75	75
t23	6	5	2	1	4	3	277	17	21
t13	6	5	2	1	4	3	532	75	75
t23	6	5	2	3	1	4	1182	17	21
t13	6	5	2	3	1	4	2045	75	75
t23	6	5	2	3	4	1	0	17	21
t13	6	5	2	3	4	1	0	75	75
t23	6	5	2	4	1	3	0	17	21
t13	6	5	2	4	1	3	0	75	75
t23	6	5	2	4	3	1	0	17	21
t13	6	5	2	4	3	1	0	75	75
t23	6	5	3	1	2	4	144	17	21
t13	6	5	3	1	2	4	446	75	75
t23	6	5	3	1	4	2	158	17	21
t13	6	5	3	1	4	2	547	75	75
t23	6	5	3	2	1	4	150	17	21
t13	6	5	3	2	1	4	457	75	75
t23	6	5	3	2	4	1	182	17	21
t13	6	5	3	2	4	1	600	75	75
t23	6	5	3	4	1	2	0	17	21
t13	6	5	3	4	1	2	0	75	75
t23	6	5	3	4	2	1	0	17	21
t13	6	5	3	4	2	1	0	75	75
t23	6	5	4	1	2	3	32	17	17
t13	6	5	4	1	2	3	463	75	75
t23	6	5	4	1	3	2	28	17	17
t13	6	5	4	1	3	2	463	75	75
t23	6	5	4	2	1	3	38	17	17
t13	6	5	4	2	1	3	467	75	75
t23	6	5	4	2	3	1	30	17	17
t13	6	5	4	2	3	1	467	75	75
t23	6	5	4	3	1	2	40	17	17
t13	6	5	4	3	1	2	467	75	75
t23	6	5	4	3	2	1	36	17	17
t13	6	5	4	3	2	1	467	75	75
