Path	ctx-a	ctx-b	ctx-u	ctx-v	ctx-y	ctx-z	ctx-p	Uniform
t17	1	2	5	7	6	3	4	100
t25	1	2	5	7	6	4	3	290
t39	1	2	5	7	6	4	3	180
t17	1	2	5	7	6	4	3	80
t25	1	2	6	3	4	5	7	420
t39	1	2	6	3	4	5	7	210
t17	1	2	6	3	4	5	7	210
t25	1	2	6	3	4	7	5	350
t39	1	2	6	3	4	7	5	210
t17	1	2	6	3	4	7	5	150
t25	1	2	6	3	5	4	7	420
t39	1	2	6	3	5	4	7	210
t17	1	2	6	3	5	4	7	210
t25	1	2	6	3	5	7	4	300
t39	1	2	6	3	5	7	4	210
t17	1	2	6	3	5	7	4	100
t25	1	2	6	3	7	4	5	250
t39	1	2	6	3	7	4	5	210
t17	1	2	6	3	7	4	5	100
t25	1	2	6	3	7	5	4	250
t39	1	2	6	3	7	5	4	210
t17	1	2	6	3	7	5	4	100
t25	1	2	6	4	3	5	7	420
t39	1	2	6	4	3	5	7	210
t17	1	2	6	4	3	5	7	210
t25	1	2	6	4	3	7	5	350
t39	1	2	6	4	3	7	5	210
t17	1	2	6	4	3	7	5	150
t25	1	2	6	4	5	3	7	420
t39	1	2	6	4	5	3	7	210
t17	1	2	6	4	5	3	7	210
t25	1	2	6	4	5	7	3	280
t39	1	2	6	4	5	7	3	210
t17	1	2	6	4	5	7	3	80
t25	1	2	6	4	7	3	5	250
t39	1	2	6	4	7	3	5	210
t17	1	2	6	4	7	3	5	100
t25	1	2	6	4	7	5	3	230
t39	1	2	6	4	7	5	3	210
t17	1	2	6	4	7	5	3	80
t25	1	2	6	5	3	4	7	420
t39	1	2	6	5	3	4	7	210
t17	1	2	6	5	3	4	7	210
t25	1	2	6	5	3	7	4	350
t39	1	2	6	5	3	7	4	210
t17	1	2	6	5	3	7	4	150
t25	1	2	6	5	4	3	7	420
t39	1	2	6	5	4	3	7	210
t17	1	2	6	5	4	3	7	210
t25	1	2	6	5	4	7	3	280
t39	1	2	6	5	4	7	3	210
t17	1	2	6	5	4	7	3	80
t25	1	2	6	5	7	3	4	250
t39	1	2	6	5	7	3	4	210
t17	1	2	6	5	7	3	4	100
t25	1	2	6	5	7	4	3	230
t39	1	2	6	5	7	4	3	210
t17	1	2	6	5	7	4	3	80
t25	1	2	6	7	3	4	5	380
t39	1	2	6	7	3	4	5	170
t17	1	2	6	7	3	4	5	170
t25	1	2	6	7	3	5	4	360
t39	1	2	6	7	3	5	4	170
t17	1	2	6	7	3	5	4	150
t25	1	2	6	7	4	3	5	380
t39	1	2	6	7	4	3	5	170
t17	1	2	6	7	4	3	5	170
t25	1	2	6	7	4	5	3	290
t39	1	2	6	7	4	5	3	170
t17	1	2	6	7	4	5	3	80
t25	1	2	6	7	5	3	4	310
t39	1	2	6	7	5	3	4	170
t17	1	2	6	7	5	3	4	100
t25	1	2	6	7	5	4	3	290
t39	1	2	6	7	5	4	3	170
t17	1	2	6	7	5	4	3	80
t25	1	2	7	3	4	5	6	400
t39	1	2	7	3	4	5	6	190
t17	1	2	7	3	4	5	6	190
t25	1	2	7	3	4	6	5	360
t39	1	2	7	3	4	6	5	190
t17	1	2	7	3	4	6	5	150
t25	1	2	7	3	5	4	6	400
t39	1	2	7	3	5	4	6	190
t17	1	2	7	3	5	4	6	190
t25	1	2	7	3	5	6	4	310
t39	1	2	7	3	5	6	4	190
t17	1	2	7	3	5	6	4	100
t25	1	2	7	3	6	4	5	310
t39	1	2	7	3	6	4	5	190
t17	1	2	7	3	6	4	5	100
t25	1	2	7	3	6	5	4	310
t39	1	2	7	3	6	5	4	190
t17	1	2	7	3	6	5	4	100
t25	1	2	7	4	3	5	6	400
t39	1	2	7	4	3	5	6	190
t17	1	2	7	4	3	5	6	190
t25	1	2	7	4	3	6	5	360
t39	1	2	7	4	3	6	5	190
t17	1	2	7	4	3	6	5	150
t25	1	2	7	4	5	3	6	400
t39	1	2	7	4	5	3	6	190
t17	1	2	7	4	5	3	6	190
t25	1	2	7	4	5	6	3	290
t39	1	2	7	4	5	6	3	190
t17	1	2	7	4	5	6	3	80
t25	1	2	7	4	6	3	5	310
t39	1	2	7	4	6	3	5	190
t17	1	2	7	4	6	3	5	100
t25	1	2	7	4	6	5	3	290
t39	1	2	7	4	6	5	3	190
t17	1	2	7	4	6	5	3	80
t25	1	2	7	5	3	4	6	400
t39	1	2	7	5	3	4	6	190
t17	1	2	7	5	3	4	6	190
t25	1	2	7	5	3	6	4	360
t39	1	2	7	5	3	6	4	190
