Chain	S_P	S_TC	S_O1OR	S_OM	S_S	S_LA	TC
P::2	3	1	4	6	5	2	56
LA::4	3	1	5	2	4	6	76
P::2	3	1	5	2	4	6	56
LA::4	3	1	5	2	6	4	76
P::2	3	1	5	2	6	4	66
LA::4	3	1	5	4	2	6	76
P::2	3	1	5	4	2	6	56
LA::4	3	1	5	4	6	2	76
P::2	3	1	5	4	6	2	66
LA::4	3	1	5	6	2	4	76
P::2	3	1	5	6	2	4	66
LA::4	3	1	5	6	4	2	76
P::2	3	1	5	6	4	2	66
LA::4	3	1	6	2	4	5	76
P::2	3	1	6	2	4	5	76
LA::4	3	1	6	2	5	4	76
P::2	3	1	6	2	5	4	76
LA::4	3	1	6	4	2	5	76
P::2	3	1	6	4	2	5	76
LA::4	3	1	6	4	5	2	76
P::2	3	1	6	4	5	2	76
LA::4	3	1	6	5	2	4	76
P::2	3	1	6	5	2	4	76
LA::4	3	1	6	5	4	2	76
P::2	3	1	6	5	4	2	76
LA::4	3	2	1	4	5	6	76
P::2	3	2	1	4	5	6	36
LA::4	3	2	1	4	6	5	76
P::2	3	2	1	4	6	5	36
LA::4	3	2	1	5	4	6	76
P::2	3	2	1	5	4	6	36
LA::4	3	2	1	5	6	4	76
P::2	3	2	1	5	6	4	36
LA::4	3	2	1	6	4	5	76
P::2	3	2	1	6	4	5	36
LA::4	3	2	1	6	5	4	76
P::2	3	2	1	6	5	4	36
LA::4	3	2	4	1	5	6	76
P::2	3	2	4	1	5	6	46
LA::4	3	2	4	1	6	5	76
P::2	3	2	4	1	6	5	46
LA::4	3	2	4	5	1	6	76
P::2	3	2	4	5	1	6	46
LA::4	3	2	4	5	6	1	76
P::2	3	2	4	5	6	1	56
LA::4	3	2	4	6	1	5	76
P::2	3	2	4	6	1	5	46
LA::4	3	2	4	6	5	1	76
P::2	3	2	4	6	5	1	56
LA::4	3	2	5	1	4	6	76
P::2	3	2	5	1	4	6	56
LA::4	3	2	5	1	6	4	76
