Branching	Index	Inherit	Length	Load	Nesting	Number	Sharing	filename	Path	Mixed
1	66	True	13	98	0	2	0	model-66.graphml	T12	35836
1	67	True	13	98	0	2	0	model-67.graphml	T12	9724
1	68	True	13	98	0	2	0	model-68.graphml	T12	12840
1	69	True	13	98	0	2	0	model-69.graphml	T12	35836
1	70	True	13	98	0	2	0	model-70.graphml	T12	4541
2	71	True	13	50	0	2	0	model-71.graphml	T23	4979
2	72	True	13	50	0	2	0	model-72.graphml	T12	3737
2	73	True	13	50	0	2	0	model-73.graphml	T12	4979
2	74	True	13	50	0	2	0	model-74.graphml	T12	4151
2	75	True	13	50	0	2	0	model-75.graphml	T23	4979
2	76	True	13	50	0	2	0	model-76.graphml	T12	4151
2	77	True	13	50	0	2	0	model-77.graphml	T23	4979
2	78	True	13	50	0	2	0	model-78.graphml	T12	4151
2	79	True	13	50	0	2	0	model-79.graphml	T23	4979
2	80	True	13	50	0	2	0	model-80.graphml	T23	4979
2	81	True	13	60	0	2	0	model-81.graphml	T23	4983
2	82	True	13	60	0	2	0	model-82.graphml	T12	5975
2	83	True	13	60	0	2	0	model-83.graphml	T12	4239
2	84	True	13	60	0	2	0	model-84.graphml	T12	5231
2	85	True	13	60	0	2	0	model-85.graphml	T12	5727
2	86	True	13	60	0	2	0	model-86.graphml	T23	5479
2	87	True	13	60	0	2	0	model-87.graphml	T23	5975
2	88	True	13	60	0	2	0	model-88.graphml	T23	5975
2	89	True	13	60	0	2	0	model-89.graphml	T12	5975
2	90	True	13	60	0	2	0	model-90.graphml	T23	4239
2	91	True	13	70	0	2	0	model-91.graphml	T12	5521
2	92	True	13	70	0	2	0	model-92.graphml	T12	6971
2	93	True	13	70	0	2	0	model-93.graphml	T23	6391
2	94	True	13	70	0	2	0	model-94.graphml	T12	6101
2	95	True	13	70	0	2	0	model-95.graphml	T23	6971
2	96	True	13	70	0	2	0	model-96.graphml	T12	6971
2	97	True	13	70	0	2	0	model-97.graphml	T23	6391
2	98	True	13	70	0	2	0	model-98.graphml	T23	6971
2	99	True	13	70	0	2	0	model-99.graphml	T12	6971
2	100	True	13	70	0	2	0	model-100.graphml	T23	6681
2	101	True	13	80	0	2	0	model-101.graphml	T12	7305
2	102	True	13	80	0	2	0	model-102.graphml	T12	6974
2	103	True	13	80	0	2	0	model-103.graphml	T23	7967
2	104	True	13	80	0	2	0	model-104.graphml	T12	7967
2	105	True	13	80	0	2	0	model-105.graphml	T23	6643
2	106	True	13	80	0	2	0	model-106.graphml	T23	7967
2	107	True	13	80	0	2	0	model-107.graphml	T12	7967
2	108	True	13	80	0	2	0	model-108.graphml	T23	7967
2	109	True	13	80	0	2	0	model-109.graphml	T12	5981
2	110	True	13	80	0	2	0	model-110.graphml	T12	7305
2	111	True	13	90	0	2	0	model-111.graphml	T23	7471
2	112	True	13	90	0	2	0	model-112.graphml	T23	6352
2	113	True	13	90	0	2	0	model-113.graphml	T23	8590
2	114	True	13	90	0	2	0	model-114.graphml	T23	8963
2	115	True	13	90	0	2	0	model-115.graphml	T23	8963
2	116	True	13	90	0	2	0	model-116.graphml	T23	6352
2	117	True	13	90	0	2	0	model-117.graphml	T23	8963
2	118	True	13	90	0	2	0	model-118.graphml	T23	8963
2	119	True	13	90	0	2	0	model-119.graphml	T12	8963
2	120	True	13	90	0	2	0	model-120.graphml	T12	8590
2	121	True	13	95	0	2	0	model-121.graphml	T12	6703
2	122	True	13	95	0	2	0	model-122.graphml	T12	7491
2	123	True	13	95	0	2	0	model-123.graphml	T12	10648
2	124	True	13	95	0	2	0	model-124.graphml	T12	7491
2	125	True	13	95	0	2	0	model-125.graphml	T12	6703
2	126	True	13	95	0	2	0	model-126.graphml	T23	6309
2	127	True	13	95	0	2	0	model-127.graphml	T12	8673
2	128	True	13	95	0	2	0	model-128.graphml	T23	7885
2	129	True	13	95	0	2	0	model-129.graphml	T23	14194
2	130	True	13	95	0	2	0	model-130.graphml	T12	7097
2	131	True	13	98	0	2	0	model-131.graphml	T12	8947
2	132	True	13	98	0	2	0	model-132.graphml	T12	7729
2	133	True	13	98	0	2	0	model-133.graphml	T12	6511
2	134	True	13	98	0	2	0	model-134.graphml	T23	6917
2	135	True	13	98	0	2	0	model-135.graphml	T12	10992
2	136	True	13	98	0	2	0	model-136.graphml	T12	9759
2	137	True	13	98	0	2	0	model-137.graphml	T12	7323
2	138	True	13	98	0	2	0	model-138.graphml	T12	11398
2	139	True	13	98	0	2	0	model-139.graphml	T23	8947
2	140	True	13	98	0	2	0	model-140.graphml	T12	13834
1	141	True	13	50	0	2	1	model-141.graphml	T12	2921
1	142	True	13	50	0	2	1	model-142.graphml	T12	1935
1	143	True	13	50	0	2	1	model-143.graphml	T12	1960
1	144	True	13	50	0	2	1	model-144.graphml	T25	2434
1	145	True	13	50	0	2	1	model-145.graphml	T25	483
1	146	True	13	50	0	2	1	model-146.graphml	T12	2921
1	147	True	13	50	0	2	1	model-147.graphml	T12	1935
1	148	True	13	50	0	2	1	model-148.graphml	T25	483
1	149	True	13	50	0	2	1	model-149.graphml	T25	2509
1	150	True	13	50	0	2	1	model-150.graphml	T12	1947
1	151	True	13	60	0	2	1	model-151.graphml	T12	2323
1	152	True	13	60	0	2	1	model-152.graphml	T12	2323
1	153	True	13	60	0	2	1	model-153.graphml	T25	3442
1	154	True	13	60	0	2	1	model-154.graphml	T25	760
1	155	True	13	60	0	2	1	model-155.graphml	T12	2323
1	156	True	13	60	0	2	1	model-156.graphml	T12	2323
1	157	True	13	60	0	2	1	model-157.graphml	T25	580
1	158	True	13	60	0	2	1	model-158.graphml	T12	3504
1	159	True	13	60	0	2	1	model-159.graphml	T25	2822
1	160	True	13	60	0	2	1	model-160.graphml	T25	3132
1	161	True	13	70	0	2	1	model-161.graphml	T12	4558
1	162	True	13	70	0	2	1	model-162.graphml	T25	676
1	163	True	13	70	0	2	1	model-163.graphml	T25	3439
1	164	True	13	70	0	2	1	model-164.graphml	T25	676
1	165	True	13	70	0	2	1	model-165.graphml	T12	4558
1	166	True	13	70	0	2	1	model-166.graphml	T12	4558
1	167	True	13	70	0	2	1	model-167.graphml	T12	2710
1	168	True	13	70	0	2	1	model-168.graphml	T25	4342
1	169	True	13	70	0	2	1	model-169.graphml	T25	4450
1	170	True	13	70	0	2	1	model-170.graphml	T12	2710
1	171	True	13	80	0	2	1	model-171.graphml	T25	4474
1	172	True	13	80	0	2	1	model-172.graphml	T25	4597
1	173	True	13	80	0	2	1	model-173.graphml	T25	774
1	174	True	13	80	0	2	1	model-174.graphml	T25	5089
1	175	True	13	80	0	2	1	model-175.graphml	T25	4228
1	176	True	13	80	0	2	1	model-176.graphml	T25	774
1	177	True	13	80	0	2	1	model-177.graphml	T25	774
1	178	True	13	80	0	2	1	model-178.graphml	T25	4720
1	179	True	13	80	0	2	1	model-179.graphml	T12	5212
1	180	True	13	80	0	2	1	model-180.graphml	T12	3097
1	181	True	13	90	0	2	1	model-181.graphml	T25	1140
1	182	True	13	90	0	2	1	model-182.graphml	T25	4482
1	183	True	13	90	0	2	1	model-183.graphml	T25	5732
1	184	True	13	90	0	2	1	model-184.graphml	T25	870
