Path	ctx-a	ctx-b	ctx-u	ctx-v	ctx-y	ctx-z	ctx-p	Mixed
t17	1	3	6	7	5	4	2	80
t25	1	3	7	2	4	5	6	210
t39	1	3	7	2	4	5	6	190
t17	1	3	7	2	4	5	6	190
t25	1	3	7	2	4	6	5	210
t39	1	3	7	2	4	6	5	190
t17	1	3	7	2	4	6	5	150
t25	1	3	7	2	5	4	6	210
t39	1	3	7	2	5	4	6	190
t17	1	3	7	2	5	4	6	190
t25	1	3	7	2	5	6	4	210
t39	1	3	7	2	5	6	4	190
t17	1	3	7	2	5	6	4	100
t25	1	3	7	2	6	4	5	210
t39	1	3	7	2	6	4	5	190
t17	1	3	7	2	6	4	5	100
t25	1	3	7	2	6	5	4	210
t39	1	3	7	2	6	5	4	190
t17	1	3	7	2	6	5	4	100
t25	1	3	7	4	2	5	6	210
t39	1	3	7	4	2	5	6	190
t17	1	3	7	4	2	5	6	190
t25	1	3	7	4	2	6	5	210
t39	1	3	7	4	2	6	5	190
t17	1	3	7	4	2	6	5	150
t25	1	3	7	4	5	2	6	210
t39	1	3	7	4	5	2	6	190
t17	1	3	7	4	5	2	6	190
t25	1	3	7	4	5	6	2	210
t39	1	3	7	4	5	6	2	190
t17	1	3	7	4	5	6	2	80
t25	1	3	7	4	6	2	5	210
t39	1	3	7	4	6	2	5	190
t17	1	3	7	4	6	2	5	100
t25	1	3	7	4	6	5	2	210
t39	1	3	7	4	6	5	2	190
t17	1	3	7	4	6	5	2	80
t25	1	3	7	5	2	4	6	210
t39	1	3	7	5	2	4	6	190
t17	1	3	7	5	2	4	6	190
t25	1	3	7	5	2	6	4	210
t39	1	3	7	5	2	6	4	190
t17	1	3	7	5	2	6	4	150
t25	1	3	7	5	4	2	6	210
t39	1	3	7	5	4	2	6	190
t17	1	3	7	5	4	2	6	190
t25	1	3	7	5	4	6	2	210
t39	1	3	7	5	4	6	2	190
t17	1	3	7	5	4	6	2	80
t25	1	3	7	5	6	2	4	210
t39	1	3	7	5	6	2	4	190
t17	1	3	7	5	6	2	4	100
t25	1	3	7	5	6	4	2	210
t39	1	3	7	5	6	4	2	190
t17	1	3	7	5	6	4	2	80
t25	1	3	7	6	2	4	5	210
t39	1	3	7	6	2	4	5	170
t17	1	3	7	6	2	4	5	170
t25	1	3	7	6	2	5	4	210
t39	1	3	7	6	2	5	4	170
t17	1	3	7	6	2	5	4	150
t25	1	3	7	6	4	2	5	210
t39	1	3	7	6	4	2	5	170
t17	1	3	7	6	4	2	5	170
t25	1	3	7	6	4	5	2	210
t39	1	3	7	6	4	5	2	170
t17	1	3	7	6	4	5	2	80
t25	1	3	7	6	5	2	4	210
t39	1	3	7	6	5	2	4	170
t17	1	3	7	6	5	2	4	100
t25	1	3	7	6	5	4	2	210
t39	1	3	7	6	5	4	2	170
t17	1	3	7	6	5	4	2	80
t25	1	4	2	3	5	6	7	210
t39	1	4	2	3	5	6	7	210
t17	1	4	2	3	5	6	7	210
