Path	ctx-a	ctx-b	ctx-u	ctx-v	ctx-y	ctx-z	ctx-p	CPA
t17	1	3	7	4	5	2	6	660
t25	1	3	7	4	5	2	6	1120
t39	1	3	7	4	5	6	2	1605
t17	1	3	7	4	5	6	2	560
t25	1	3	7	4	5	6	2	1120
t39	1	3	7	4	6	2	5	1590
t17	1	3	7	4	6	2	5	540
t25	1	3	7	4	6	2	5	1040
t39	1	3	7	4	6	5	2	1540
t17	1	3	7	4	6	5	2	530
t25	1	3	7	4	6	5	2	1080
t39	1	3	7	5	2	4	6	1380
t17	1	3	7	5	2	4	6	710
t25	1	3	7	5	2	4	6	1240
t39	1	3	7	5	2	6	4	1360
t17	1	3	7	5	2	6	4	650
t25	1	3	7	5	2	6	4	1340
t39	1	3	7	5	4	2	6	1390
t17	1	3	7	5	4	2	6	660
t25	1	3	7	5	4	2	6	1240
t39	1	3	7	5	4	6	2	1490
t17	1	3	7	5	4	6	2	530
t25	1	3	7	5	4	6	2	1220
t39	1	3	7	5	6	2	4	1470
t17	1	3	7	5	6	2	4	500
t25	1	3	7	5	6	2	4	1120
t39	1	3	7	5	6	4	2	1520
t17	1	3	7	5	6	4	2	530
t25	1	3	7	5	6	4	2	1100
t39	1	3	7	6	2	4	5	1255
t17	1	3	7	6	2	4	5	660
t25	1	3	7	6	2	4	5	1360
